Player,Position,Nationality
Moussa Sissoko,Midfielder,France
Oliver Skipp,Midfielder,England
Callum Slattery,Midfielder,England
Islam Slimani,Forward,Algeria
William Smallbone,Forward,Ireland
Chris Smalling,Defender,England
Adam Smith,Defender,England
Emile Smith Rowe,Midfielder,England
Robert Snodgrass,Midfielder,Scotland
Sokratis,Defender,Greece
Dominic Solanke,Forward,England
Solly March,Midfielder,England
Son Heung-Min,Forward,South Korea
Andreas Söndergaard,Goalkeeper,Denmark
Elias Sorensen,Forward,Denmark
Pape Souaré,Defender,Senegal
Çaglar Söyüncü,Defender,Turkey
Julian Speroni,Goalkeeper,Argentina
Jack Spong,Midfielder,England
Dennis Srbeny,Forward,Germany
Jack Stacey,Defender,England
Junior Stanislas,Midfielder,England
Richard Stearman,Defender,England
Jason Steele,Goalkeeper,England
Jed Steer,Goalkeeper,England
Zack Steffen,Goalkeeper,United States
Maarten Stekelenburg,Goalkeeper,Netherlands
Dale Stephens,Midfielder,England
Dujon Sterling,Defender,England
Jamie Sterry,Defender,England
Steve Cook,Defender,England
Enda Stevens,Defender,Ireland
Marco Stiepermann,Midfielder,Germany
John Stones,Defender,England
Daniel Sturridge,Forward,England
Denis Suárez,Midfielder,Spain
Andrew Surman,Midfielder,England
Sam Surridge,Forward,England
Markus Suttner,Defender,Austria
Alexander Sørloth,Forward,Norway
Japhet Tanganga,Defender,England
Shani Tarashaj,Forward,Switzerland
Matt Targett,Defender,England
James Tarkowski,Defender,England
Percy Tau,Forward,South Africa
Nikola Tavares,Defender,England
Neil Taylor,Defender,Wales
Alexander Tettey,Midfielder,Norway
George Thomas,Forward,Wales
Dominic Thompson,Defender,England
Youri Tielemans,Midfielder,Belgium
Kieran Tierney,Defender,Scotland
Timi Odusina,Defender,England
Tom Dele-Bashiru,Midfielder,Nigeria
James Tomkins,Defender,England
Fikayo Tomori,Defender,England
Toni Martínez,Forward,Spain
Lucas Torreira,Midfielder,Uruguay
Tosin Adarabioyo,Defender,England
Cenk Tosun,Forward,Turkey
Andros Townsend,Midfielder,England
Adama Traoré,Forward,Spain
Mark Travers,Goalkeeper,Ireland
Trézéguet,Midfielder,Egypt
Kieran Trippier,Defender,England
Leandro Trossard,Midfielder,Belgium
Tom Trybull,Midfielder,Germany
Aaron Tshibola,Midfielder,The Democratic Republic Of Congo
Axel Tuanzebe,Defender,England
Joe Tupper,Goalkeeper,England
Ike Ugbo,Forward,England
Calvin Ughelumba,Defender,England
Leonardo Ulloa,Forward,Argentina
Yan Valery,Defender,France
Jesús Vallejo,Defender,Spain
Patrick van Aanholt,Defender,Netherlands
Sepp van den Berg,Defender,Netherlands
Virgil van Dijk,Defender,Netherlands
Marco van Ginkel,Midfielder,Netherlands
Jamie Vardy,Forward,England
Michael Verrips,Goalkeeper,Netherlands
Jan Vertonghen,Defender,Belgium
Jannik Vestergaard,Defender,Denmark
Nikola Vlasic,Midfielder,Croatia
Sam Vokes,Forward,Wales
Jake Vokins,Defender,England
Michel Vorm,Goalkeeper,Netherlands
Mario Vrancic,Midfielder,Bosnia And Herzegovina
Matej Vydra,Forward,Czech Republic
Theo Walcott,Forward,England
Kyle Walker,Defender,England
Kyle Walker-Peters,Defender,England
Jonathan Walters,Forward,Ireland
Aaron Wan-Bissaka,Defender,England
Victor Wanyama,Midfielder,Kenya
Stephen Ward,Defender,Ireland
James Ward-Prowse,Midfielder,England
Conor Washington,Forward,Northern Ireland
Elliot Watt,Midfielder,Scotland
Kelland Watts,Midfielder,England
Adam Webster,Defender,England
Danny Welbeck,Forward,England
Nahki Wells,Forward,Bermuda
Wesley,Forward,Brazil
Ashley Westwood,Midfielder,England
Glenn Whelan,Midfielder,Ireland
Ben White,Defender,England
Alfie Whiteman,Goalkeeper,England
Connor Wickham,Forward,England
Georginio Wijnaldum,Midfielder,Netherlands
Yanic Wildschut,Forward,Netherlands
Wilfred Ndidi,Midfielder,Nigeria
Jetro Willems,Defender,Netherlands
Jonathan Williams,Midfielder,Wales
Willian,Forward,Brazil
Ben Wilmot,Defender,England
Jack Wilshere,Midfielder,England
Harry Wilson,Midfielder,Wales
Harry Winks,Midfielder,England
Chris Wood,Forward,New Zealand
Ben Woodburn,Midfielder,Wales
Sam Woods,Defender,England
Callum Wright,Midfielder,England
Xande Silva,Forward,Portugal
Granit Xhaka,Midfielder,Switzerland
Romaric Yapi,Defender,France
Andriy Yarmolenko,Forward,Ukraine
DeAndre Yedlin,Defender,United States
Maya Yoshida,Defender,Japan
Ashley Young,Defender,England
Pablo Zabaleta,Defender,Argentina
Wilfried Zaha,Forward,Cote D'Ivoire
Davide Zappacosta,Defender,Italy
Marvin Zeegelaar,Defender,Netherlands
Jordan Zemura,Defender,England
Karlo Ziger,Goalkeeper,Croatia
Christoph Zimmermann,Defender,Germany
Oleksandr Zinchenko,Midfielder,Ukraine
Nabili Zoubdi Touaizi,Forward,Spain
Kurt Zouma,Defender,France
